"station","date","max"
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-01,62
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-02,55
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-03,51
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-04,58
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-05,48
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-06,49
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-07,59
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-08,48
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-09,34
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-10,29
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-11,34
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-12,30
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-13,34
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-14,44
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-15,50
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-16,54
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-17,47
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-18,46
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-19,52
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-20,45
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-21,40
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-22,43
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-23,46
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-24,54
"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US",2011-01-25,43
